Student_ID,Gender,Age,Department,Attendance (%),Midterm_Score,Final_Score,Assignments_Avg,Quizzes_Avg,Participation_Score,Projects_Score,Grade,Study_Hours_per_Week,Extracurricular_Activities,Internet_Access_at_Home,Family_Income_Level,Stress_Level (1-10),Sleep_Hours_per_Night
S1041,Male,23,Business,89.11,81.94,56.71,97.63,60.57,5.51,80.04,A,28.1,No,Yes,Medium,6,5.7
S1042,Male,20,Engineering,97.79,45.27,56.32,75.36,59.19,0.52,79.16,A,9.7,No,Yes,Low,2,4.3
S1043,Male,18,CS,79.01,82.75,72.32,72.47,85.89,7.79,80.38,A,26.5,Yes,Yes,High,6,8.9
S1044,Male,22,Mathematics,84.1,98.37,49.24,62.38,77.52,1.39,60.58,D,26.1,Yes,Yes,Medium,7,5.8
S1045,Male,21,CS,66.87,72.25,88.65,54.94,77.86,1.33,66.85,C,19.4,No,Yes,Low,5,5.0
S1046,Male,24,CS,75.431409455843,69.91,44.14,77.41,87.63,1.98,96.58,C,13.5,No,Yes,Low,5,8.6
S1047,Female,23,CS,86.73,51.24,45.67,65.74,92.75,5.77,98.7,A,10.2,No,Yes,High,4,5.0
S1048,Male,18,Engineering,96.39,78.03,60.53,76.2,61.95,2.86,65.6,B,10.3,No,Yes,Medium,10,6.6
S1049,Male,24,CS,81.45,75.43,47.09,60.31,77.78,3.68,82.23,B,13.4,No,Yes,Low,1,7.8
S1050,Female,19,CS,89.49,79.12,68.54,91.91,91.45,9.32,62.06,A,17.6,No,Yes,Low,10,7.7
S1051,Female,20,CS,58.58,41.56,63.98,99.98,93.64,8.47,68.43,D,19.6,Yes,Yes,Medium,7,4.1
S1052,Female,19,CS,60.6,72.92,83.31,66.12,64.37,8.52,89.62,B,13.1,No,Yes,Low,3,5.0
S1053,Female,23,Engineering,76.6,75.7,97.18,92.12,55.21,5.78,75.06,C,13.9,No,Yes,Medium,5,8.4
S1054,Male,19,Business,75.431409455843,52.45,85.21,93.65,61.64,8.66,92.48,B,5.3,No,Yes,Medium,8,6.8
S1055,Female,19,Business,81.75,52.5,50.77,74.79867276377426,97.27,7.79,81.44,A,5.1,No,Yes,Medium,2,7.4
S1056,Female,20,CS,64.58,56.57,96.13,67.14,73.12,9.53,81.45,F,27.7,No,Yes,Low,4,6.0
S1057,Male,20,CS,89.58,82.7,63.53,87.8,70.93,0.64,51.69,A,5.4,Yes,Yes,Low,9,7.7
S1058,Male,20,Mathematics,90.41,76.38,68.45,61.44,50.65,0.29,87.48,B,5.8,Yes,Yes,High,2,5.4
S1059,Male,24,CS,73.19,90.75,65.29,81.24,52.55,1.75,98.89,F,10.1,No,No,Medium,8,5.2
S1060,Female,20,Business,59.04,57.74,56.83,85.24,83.43,9.29,73.65,D,23.6,No,Yes,Low,9,9.0
S1061,Male,19,CS,82.34,94.72,93.7,74.79867276377426,79.49,6.06,57.93,B,22.0,No,Yes,Low,3,4.8
S1062,Female,22,Mathematics,99.64,84.62,59.93,60.36,78.78,4.26,98.85,A,21.2,Yes,Yes,Medium,5,8.9
S1063,Male,22,CS,81.13,63.7,74.72,92.44,55.52,5.13,64.51,F,19.4,No,Yes,Medium,4,8.6
S1064,Male,20,Engineering,51.79,45.72,54.4,71.05,67.6,8.3,70.46,C,10.0,No,Yes,Low,10,7.6
S1065,Female,24,Business,50.86,55.42,87.84,60.82,90.62,9.29,53.87,F,14.9,No,No,High,10,6.9
S1066,Male,21,Engineering,66.02,97.41,86.45,77.13,58.75,7.3,55.54,A,17.0,No,Yes,Low,8,4.0
S1067,Male,18,CS,59.79,58.62,57.78,93.17,94.13,7.6,60.83,D,19.6,No,Yes,Low,8,7.2
S1068,Male,23,Engineering,90.65,59.79,80.89,98.35,56.07,3.2,77.42,A,10.0,No,Yes,Low,5,7.9
S1069,Male,24,Business,92.24,51.38,82.23,87.41,58.46,4.67,77.89,A,23.2,No,Yes,High,5,7.7
S1070,Male,21,CS,62.93,88.41,73.75,50.28,73.89,8.85,80.31,B,12.7,No,Yes,High,1,4.9
S1071,Female,23,CS,66.28,56.54,76.04,56.74,97.26,7.86,79.19,C,21.5,No,Yes,Low,5,6.7
S1072,Female,21,Engineering,61.81,59.82,74.47,53.81,66.48,6.84,74.76,B,17.8,Yes,No,Low,1,6.8
S1073,Male,21,CS,95.42,64.86,44.91,55.06,82.91,0.65,90.1,A,19.8,Yes,Yes,High,4,7.3
S1074,Female,22,Engineering,75.13,66.02,80.22,69.15,79.43,0.4,96.69,A,15.3,No,Yes,Low,7,8.2
S1075,Female,18,CS,82.81,64.68,68.19,66.92,57.48,1.3,63.49,F,16.1,No,Yes,Low,2,7.5
S1076,Female,21,Engineering,70.77,70.22,66.31,74.79867276377426,62.41,5.81,56.51,A,26.7,No,Yes,High,1,4.7
S1077,Male,20,CS,81.55,88.87,91.6,94.11,96.51,5.36,71.25,D,16.9,Yes,Yes,High,2,4.1
S1078,Male,23,Engineering,69.29,89.16,41.39,80.77,59.24,9.43,51.32,A,24.8,No,Yes,Medium,7,4.7
S1079,Male,24,CS,66.98,87.9,55.08,74.79867276377426,84.75,6.95,94.17,A,14.9,No,Yes,Low,3,4.2
S1080,Female,22,CS,81.72,46.07,47.28,74.79867276377426,98.23,2.94,61.99,A,22.5,Yes,Yes,High,5,6.2
S1081,Female,23,CS,75.431409455843,87.98,42.12,70.51,55.98,1.61,77.46,D,10.8,No,Yes,Low,1,5.4
S1082,Male,20,Mathematics,75.431409455843,47.22,56.54,65.88,69.96,8.5,55.75,A,27.9,No,Yes,Low,10,4.0
S1083,Male,20,CS,57.47,47.48,99.31,71.92,61.2,4.6,77.66,D,29.2,No,Yes,Medium,10,4.4
S1084,Female,21,Business,68.43,96.87,56.21,80.52,61.08,6.53,51.95,F,27.5,Yes,Yes,High,10,6.0
S1085,Female,20,CS,70.76,89.16,79.82,74.65,55.95,5.65,88.44,C,13.7,No,Yes,Low,8,8.7
S1086,Male,18,CS,81.43,73.14,47.1,91.9,82.48,1.07,97.77,C,11.9,No,Yes,Medium,4,9.0
S1087,Female,20,Engineering,95.73,92.5,76.11,95.01,87.32,0.57,65.35,B,9.6,Yes,Yes,Medium,10,4.3
S1088,Female,21,Engineering,75.431409455843,99.36,99.07,73.48,83.84,3.77,62.91,C,26.8,No,Yes,High,2,8.2
S1089,Female,23,Mathematics,75.431409455843,76.64,57.51,61.99,96.23,3.62,72.4,F,8.0,No,Yes,Medium,8,6.4
S1090,Female,20,Mathematics,59.69,76.77,90.88,97.26,57.28,6.74,81.0,C,21.1,No,Yes,Medium,10,7.1
S1091,Female,22,Business,75.11,85.27,99.85,86.75,65.99,6.32,59.45,B,13.3,No,Yes,Medium,5,6.5
S1092,Female,24,Engineering,71.49,53.93,75.31,82.01,67.23,9.69,90.17,D,9.7,No,Yes,Medium,2,8.6
S1093,Female,22,Engineering,86.45,50.03,58.56,87.27,61.6,8.58,59.93,A,9.6,No,Yes,Low,9,6.4
S1094,Male,22,CS,75.431409455843,85.57,80.41,74.79867276377426,57.11,4.97,50.27,F,26.8,No,Yes,High,6,4.8
S1095,Male,23,Mathematics,79.72,60.69,90.69,53.38,74.34,5.0,76.21,D,26.5,Yes,Yes,Medium,8,7.9
S1096,Female,19,Engineering,94.19,48.1,50.28,57.66,91.72,6.74,55.76,A,11.8,No,Yes,Medium,2,6.6
S1097,Female,24,Engineering,95.53,58.89,67.15,57.37,97.73,1.14,84.91,A,5.8,Yes,Yes,Medium,5,4.6
S1098,Female,22,CS,97.94,61.52,59.15,71.03,56.47,10.0,58.37,B,26.7,No,Yes,Low,3,6.3
S1099,Male,22,CS,88.66,97.91,57.0,57.87,91.16,5.19,90.87,B,6.4,No,Yes,Medium,8,7.4
S1100,Male,19,Mathematics,95.3,81.88,91.65,92.73,91.23,9.1,73.52,A,7.1,No,No,Medium,1,5.5
S1101,Female,23,CS,61.73,71.85,65.3,78.9,69.45,9.67,78.31,F,25.5,No,Yes,Low,9,8.6
S1102,Male,24,Engineering,59.88,98.13,60.34,68.41,55.5,5.82,59.33,F,25.4,No,Yes,Low,6,8.2
S1103,Female,22,CS,50.32,94.19,76.21,53.48,99.5,1.03,57.33,D,10.1,No,Yes,Medium,1,6.8
S1104,Female,21,Business,85.34,70.72,53.16,79.55,82.78,5.73,81.56,A,6.0,No,Yes,Medium,3,4.3
S1105,Female,23,CS,96.87,94.34,53.79,55.83,99.11,5.98,62.77,A,6.6,No,Yes,High,8,6.9
S1106,Female,24,Business,59.35,64.26,71.22,87.16,74.18,7.89,69.3,D,16.3,Yes,Yes,Medium,8,6.1
S1107,Female,22,CS,81.85,53.83,64.56,90.14,69.76,0.48,73.97,F,15.5,No,Yes,Low,3,7.6
S1108,Female,22,Business,87.32,53.96,57.7,77.2,62.36,4.66,61.48,A,9.6,No,Yes,Low,10,5.3
S1109,Female,19,Business,96.38,79.74,43.24,57.48,99.18,9.23,89.77,B,27.7,Yes,Yes,Medium,8,7.0
S1110,Male,24,CS,82.34,70.06,71.25,89.34,62.66,9.91,96.97,F,18.8,Yes,Yes,High,6,6.8
S1111,Female,21,Engineering,98.51,79.54,89.0,65.39,51.19,1.91,71.59,B,25.2,No,Yes,Low,7,6.6
S1112,Male,23,CS,67.23,81.16,91.08,61.13,75.62,8.71,95.88,B,7.6,No,Yes,Medium,2,4.6
S1113,Female,20,CS,67.5,41.34,54.13,73.53,68.85,1.46,94.13,C,29.3,Yes,Yes,Low,1,6.4
S1114,Female,18,Business,77.15,43.24,75.98,96.13,63.07,8.41,58.3,C,25.2,No,Yes,Low,1,6.8
S1115,Male,21,Engineering,69.18,71.96,91.35,64.87,81.73,2.77,58.67,B,12.2,No,Yes,Medium,3,8.6
S1116,Male,20,CS,50.07,51.46,64.52,95.28,68.21,9.6,73.87,D,5.5,Yes,Yes,Medium,7,6.3
S1117,Female,21,CS,75.431409455843,77.95,95.93,52.68,70.11,6.95,76.29,B,9.1,No,Yes,Low,9,7.2
S1118,Male,24,CS,87.59,73.13,94.18,54.18,51.15,3.99,67.06,B,15.5,No,Yes,High,2,6.8
S1119,Female,20,Business,87.35,75.15,52.49,84.93,79.45,2.81,65.65,A,5.1,No,Yes,Medium,6,5.0
S1120,Female,24,CS,67.25,58.15,55.54,59.53,56.1,2.35,71.57,B,6.0,Yes,Yes,Medium,8,4.9
S1121,Male,20,Mathematics,76.11,78.39,50.83,65.83,60.69,6.81,84.52,C,7.5,Yes,Yes,Medium,9,7.7
S1122,Male,21,Mathematics,68.0,89.77,51.76,56.82,85.86,8.96,54.22,B,25.2,No,Yes,Low,10,6.6
S1123,Male,19,CS,50.8,99.88,94.47,66.61,65.66,7.55,85.53,D,18.7,Yes,Yes,High,3,8.5
S1124,Male,21,CS,78.12,90.31,95.87,64.02,58.16,8.35,96.31,D,9.8,Yes,Yes,Medium,5,8.5
S1125,Female,24,Business,56.19,73.45,43.11,86.82,78.87,7.81,88.18,C,11.6,No,Yes,High,5,5.5
S1126,Male,21,CS,54.0,51.61,75.62,85.1,60.75,9.79,59.58,F,21.1,Yes,Yes,Low,8,4.5
S1127,Male,20,CS,87.77,80.89,73.85,97.75,63.55,7.58,54.37,A,13.0,No,Yes,High,1,5.7
S1128,Male,18,CS,50.48,96.26,63.43,86.22,81.07,2.1,74.52,D,22.1,No,Yes,Low,3,4.3
S1129,Male,20,Engineering,97.95,52.71,77.9,84.74,86.99,7.92,97.82,A,24.5,Yes,No,Low,6,7.9
S1130,Male,22,Business,75.76,55.36,96.84,84.71,86.98,3.22,90.95,A,12.7,Yes,Yes,Low,6,4.7
S1131,Female,21,CS,99.15,48.94,50.22,94.15,74.11,9.96,78.14,A,14.2,No,Yes,High,4,8.3
S1132,Female,23,CS,52.9,84.2,47.22,64.81,72.71,3.77,57.15,D,6.3,No,Yes,Low,5,6.1
S1133,Male,21,Mathematics,79.18,64.39,42.0,74.79867276377426,89.38,2.93,85.69,D,25.5,No,Yes,Medium,10,5.4
S1134,Male,19,Business,67.47,43.76,61.83,87.06,59.65,2.39,90.65,A,20.2,No,Yes,Low,3,6.5
S1135,Female,24,Engineering,92.17,92.5,60.26,61.44,57.61,6.59,96.75,A,27.2,No,Yes,Low,4,7.0
S1136,Male,23,Business,75.431409455843,73.46,65.85,95.6,83.23,1.09,80.61,F,9.7,Yes,Yes,Medium,10,7.5
S1137,Female,20,Engineering,63.02,59.87,70.2,76.74,70.48,9.54,75.72,C,29.0,No,Yes,High,10,5.7
S1138,Female,19,Business,92.88,60.64,85.47,74.79867276377426,85.5,2.94,80.96,A,22.7,No,Yes,Low,1,8.9
S1139,Male,21,CS,68.73,57.42,63.53,88.8,62.83,2.95,97.16,D,9.9,Yes,Yes,Medium,6,6.1
S1140,Female,20,CS,50.84,67.33,59.84,65.62,66.24,0.46,81.41,D,16.6,No,Yes,Medium,5,8.2
S1141,Male,20,Business,69.51,60.22,89.61,98.16,94.83,2.46,62.88,B,22.5,No,Yes,Low,5,4.2
S1142,Male,22,Engineering,82.73,72.88,90.99,74.79867276377426,71.08,4.19,81.81,A,5.4,No,Yes,High,4,7.9
S1143,Female,22,Mathematics,62.72,86.41,53.97,83.34,79.55,3.7,93.99,B,24.5,Yes,Yes,Medium,9,6.8
S1144,Female,18,CS,71.6,80.47,58.88,55.68,55.33,2.73,78.35,D,28.7,No,Yes,High,9,7.2
S1145,Male,22,Mathematics,52.84,57.67,89.51,63.16,58.94,0.41,75.13,F,7.0,No,Yes,Low,5,5.9
S1146,Female,24,Mathematics,79.4,71.72,44.76,75.77,51.79,3.01,86.67,F,27.5,No,Yes,Low,7,6.7
S1147,Male,23,CS,87.81,90.41,59.55,92.57,71.22,7.78,83.05,A,16.6,No,Yes,Medium,3,8.7
S1148,Female,20,Business,70.67,44.09,66.9,59.24,99.45,4.39,52.83,D,17.9,No,Yes,High,1,5.9
S1149,Female,22,Engineering,71.01,44.7,51.22,55.22,93.69,2.91,86.27,C,26.0,No,Yes,Low,1,4.5
S1150,Male,18,Mathematics,54.41,73.37,50.79,53.72,81.65,3.05,70.38,C,19.7,No,Yes,Low,3,7.6
S1151,Male,21,Engineering,60.1,78.35,65.49,75.35,93.05,5.54,97.04,A,13.8,No,Yes,Medium,3,6.5
S1152,Male,23,Business,57.73,52.68,85.27,94.24,79.71,3.02,98.54,C,23.3,No,Yes,Low,5,6.1
S1153,Female,22,Engineering,74.08,84.71,90.41,52.12,68.44,6.31,72.44,D,8.5,Yes,Yes,Medium,8,7.9
S1154,Male,20,CS,76.46,78.78,98.75,60.62,58.68,9.89,98.44,A,21.7,No,Yes,Low,6,6.8
S1155,Male,21,CS,75.431409455843,95.4,44.44,84.66,82.65,0.41,65.54,F,24.4,No,Yes,Medium,8,7.2
S1156,Female,24,Engineering,53.66,50.14,53.0,91.29,59.65,1.69,84.13,D,13.4,No,Yes,High,7,8.6
S1157,Female,20,Business,79.99,85.08,85.4,90.37,70.87,1.79,53.75,B,29.3,No,Yes,Low,1,4.3
S1158,Male,21,Engineering,76.32,45.02,72.44,89.25,91.29,4.47,57.25,F,21.0,Yes,Yes,High,10,5.3
S1159,Male,24,Engineering,75.81,73.92,59.66,56.49,56.46,0.41,93.23,D,7.4,Yes,Yes,Low,8,8.5
S1160,Male,24,CS,93.66,73.11,52.34,69.86,56.45,4.78,94.69,A,29.2,No,Yes,Medium,1,8.0
S1161,Male,23,Engineering,60.28,63.3,56.83,99.24,61.22,9.29,76.63,C,23.6,No,Yes,Low,5,4.9
S1162,Female,20,CS,52.04,90.67,65.76,99.44,77.6,0.12,66.99,D,22.4,Yes,Yes,Low,3,4.8
S1163,Female,22,Business,83.61,40.26,50.63,74.79867276377426,62.59,3.65,72.55,A,11.3,No,Yes,Medium,7,8.1
S1164,Male,22,Mathematics,75.431409455843,71.21,97.85,85.46,75.16,7.61,93.48,F,16.8,No,Yes,Medium,5,6.8
S1165,Male,18,Engineering,50.88,53.03,46.46,97.56,65.1,1.54,60.55,D,27.5,No,Yes,Medium,2,8.3
S1166,Male,21,CS,62.57,84.61,99.13,72.5,75.31,0.78,64.74,C,12.7,No,Yes,Low,1,8.6
S1167,Female,18,CS,65.47,42.58,90.51,56.84,63.88,6.31,89.27,A,15.6,Yes,Yes,Medium,10,4.3
S1168,Male,19,Engineering,80.84,89.89,65.39,83.45,99.0,0.1,96.76,A,11.4,Yes,Yes,Low,6,8.8
S1169,Male,22,Engineering,58.63,90.29,84.39,98.01,74.64,8.02,54.65,D,10.4,No,Yes,Low,6,7.6
S1170,Female,21,Business,70.65,89.97,80.29,84.86,87.18,0.67,90.19,D,6.1,No,Yes,Medium,8,8.2
S1171,Female,23,CS,74.12,49.15,52.8,90.17,85.03,5.24,82.25,C,23.4,No,Yes,High,9,7.2
S1172,Male,18,Business,72.96,77.82,60.34,74.79867276377426,74.53,7.4,61.54,F,7.3,No,Yes,Medium,2,5.5
S1173,Male,23,Engineering,98.7,40.86,70.79,54.82,61.94,2.42,87.79,B,18.3,No,Yes,Low,5,7.0
S1174,Female,23,CS,75.431409455843,90.88,78.27,58.44,75.54,1.04,86.4,C,6.2,Yes,Yes,High,5,6.6
S1175,Male,23,Engineering,97.55,83.38,72.57,99.13,84.05,1.76,57.1,A,29.6,Yes,Yes,Low,10,8.7
S1176,Male,18,CS,79.1,71.87,68.38,74.66,73.0,8.55,75.11,F,22.7,Yes,Yes,Medium,8,6.8
S1177,Female,19,Engineering,89.79,83.84,66.59,50.6,54.1,7.06,87.91,A,20.8,No,Yes,Low,9,4.1
S1178,Female,24,Business,71.52,45.66,69.9,97.77,50.9,1.98,59.58,B,9.7,No,No,Medium,5,7.4
S1179,Female,24,Engineering,72.69,71.72,66.06,74.89,66.39,7.16,73.14,F,18.2,No,Yes,Low,5,4.3
S1180,Male,18,Business,93.97,57.48,72.48,91.81,57.51,7.09,56.04,A,17.6,Yes,Yes,Medium,3,8.7
S1181,Female,24,Engineering,94.8,98.36,93.28,77.42,95.31,9.98,65.34,A,14.0,No,No,Medium,6,6.4
S1182,Female,20,CS,61.93,91.43,77.97,55.09,58.79,3.92,60.9,A,8.9,Yes,No,High,7,8.8
S1183,Male,24,Engineering,59.96,84.0,83.36,80.78,69.71,8.65,75.25,C,14.2,No,Yes,Low,3,4.1
S1184,Male,22,Engineering,74.81,96.02,75.85,74.79867276377426,85.6,4.46,57.06,D,20.2,No,Yes,Low,2,6.7
S1185,Female,18,CS,95.01,60.81,78.58,51.74,90.77,8.98,69.16,A,17.2,Yes,No,Low,2,5.1
S1186,Female,24,CS,66.12,94.05,74.7,92.09,73.89,0.92,63.76,A,19.3,No,Yes,High,9,7.2
S1187,Male,18,Engineering,82.6,59.51,41.61,61.77,59.06,1.75,87.3,F,19.3,No,No,High,6,6.5
S1188,Male,19,CS,85.41,83.97,99.98,69.69,63.54,8.5,84.98,A,11.1,No,No,Low,2,6.8
S1189,Female,20,CS,88.93,84.19,42.02,68.64,70.95,8.19,54.75,A,7.8,Yes,No,Low,5,5.8
S1190,Female,18,Engineering,78.2,41.1,63.71,74.79867276377426,68.23,3.05,97.67,F,18.0,Yes,No,Medium,7,4.3
S1191,Male,22,CS,70.12,61.66,46.31,75.22,67.43,5.97,87.23,F,27.3,No,Yes,Medium,1,4.5
S1192,Female,24,Mathematics,98.35,41.17,45.82,72.36,56.59,3.83,80.8,B,29.9,Yes,Yes,Low,8,8.3
S1193,Male,22,CS,80.57,99.83,87.61,74.79867276377426,95.67,0.1,73.89,F,24.6,No,Yes,Medium,6,7.5
S1194,Female,24,Business,86.43,47.33,65.56,52.45,51.49,0.26,58.9,A,10.5,No,Yes,Low,1,7.8
S1195,Male,18,Engineering,67.25,72.57,88.07,54.32,72.0,0.54,98.1,C,20.8,No,Yes,Low,8,4.6
S1196,Male,23,Business,83.5,87.43,56.37,51.08,99.02,5.94,50.39,C,11.0,No,Yes,Medium,5,4.2
S1197,Female,24,CS,62.89,52.08,55.39,84.4,82.99,2.79,84.62,D,19.4,No,Yes,High,7,4.1
S1198,Female,23,Mathematics,62.25,69.1,55.07,76.28,67.77,1.44,75.37,D,17.0,No,Yes,High,10,6.6
S1199,Male,20,Engineering,85.74,76.45,76.97,93.8,57.3,9.41,95.13,A,14.5,Yes,Yes,Medium,4,6.5
S1200,Female,22,Business,76.07,49.61,88.9,74.93,98.19,1.21,69.03,C,21.0,Yes,Yes,High,2,4.6
S1201,Female,23,CS,84.16,86.71,67.14,61.09,50.7,6.74,75.93,C,26.4,No,Yes,Low,8,5.7
S1202,Female,22,CS,63.47,57.96,62.75,90.26,84.07,8.94,87.12,B,13.4,No,Yes,Low,4,6.7
S1203,Male,24,Engineering,79.94,52.66,98.41,64.72,94.01,1.64,52.38,A,17.2,No,Yes,Low,8,7.4
S1204,Female,24,CS,72.2,73.5,47.01,96.78,51.26,2.15,52.72,C,16.4,No,Yes,Low,9,8.0
S1205,Female,20,Engineering,79.85,64.62,69.2,62.52,86.26,5.74,60.58,C,11.2,No,Yes,Medium,4,7.2
S1206,Male,24,CS,64.54,95.22,64.51,58.39,99.94,5.08,57.32,D,15.5,No,Yes,Low,8,4.2
S1207,Female,20,Engineering,85.77,92.8,45.89,74.67,81.98,5.21,50.32,B,5.5,No,Yes,Medium,4,6.9
S1208,Female,23,Mathematics,90.3,69.0,56.09,52.53,70.73,5.55,81.15,B,17.9,No,Yes,Medium,8,4.4
S1209,Male,24,Engineering,63.0,61.56,41.71,51.82,93.72,9.5,89.8,D,23.0,Yes,Yes,High,1,6.8
S1210,Male,18,Business,65.03,59.53,92.62,74.8,77.71,0.54,97.86,C,14.2,No,Yes,Medium,2,5.9
S1211,Female,21,Engineering,83.06,56.05,76.47,60.76,87.47,7.6,72.05,F,23.7,Yes,Yes,Low,10,5.4
S1212,Female,19,Engineering,75.431409455843,72.67,88.9,50.47,79.39,2.33,63.99,B,23.8,No,No,Medium,3,6.4
S1213,Male,21,Mathematics,85.2,88.3,71.29,64.8,51.91,3.74,93.2,A,29.6,Yes,Yes,Medium,2,5.9
S1214,Male,21,Business,84.13,58.65,75.97,73.87,60.66,0.89,92.22,A,18.6,No,Yes,Medium,10,8.2
S1215,Female,22,Business,69.64,51.41,82.05,69.71,53.94,4.46,81.24,B,15.1,No,Yes,Low,8,5.1
S1216,Female,20,CS,69.74,68.53,94.48,56.77,55.33,8.04,63.66,D,21.0,Yes,Yes,Low,10,4.7
